PhoneNumber,MinTalking,Date
642-995-2761x689,31,2023-01-01
(852)911-2006x67057,423,2023-01-02
001-232-492-5359,29,2023-01-03
+1-534-983-9531,197,2023-01-04
241.612.1726,427,2023-01-05
+1-532-284-8951x416,463,2023-01-06
943.889.1509,418,2023-01-07
+1-749-844-0430x87139,13,2023-01-08
962.971.3652,307,2023-01-09
(331)498-3709x483,276,
246.389.5797x2396,580,2023-01-11
591.321.9162x32544,,2023-01-12
9349264109,450,2023-01-13
362.521.1412,593,2023-01-14
794-490-3449x86035,152,2023-01-15
(633)228-5060x74616,292,2023-01-16
001-283-874-3397x81875,484,2023-01-17
404-447-1198,463,2023-01-18
+1-200-221-7150x2961,481,2023-01-19
720.339.8985x3103,178,2023-01-20
